Start Vertex,End Vertex,Shortest Distance,Shortest Path
14,1,152,"[14, 13, 12, 1]"
14,2,157,"[14, 8, 2]"
14,3,125,"[14, 3]"
14,4,98,"[14, 4]"
14,5,88,"[14, 8, 5]"
14,6,84,"[14, 6]"
14,7,84,"[14, 7]"
14,8,40,"[14, 8]"
14,9,126,"[14, 9]"
14,10,129,"[14, 8, 10]"
14,11,92,"[14, 11]"
14,12,59,"[14, 13, 12]"
14,13,56,"[14, 13]"
